Domain Code,Domain,Area Code,Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.837","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","2014","2014","°C","0.923","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","2015","2015","°C","0.99","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.154","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.014","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.961","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1961","1961","°C","0.264","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1962","1962","°C","-0.076","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1963","1963","°C","-0.204","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1964","1964","°C","-0.198","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1965","1965","°C","-0.382","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1966","1966","°C","0.21","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1967","1967","°C","0.08","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1968","1968","°C","-0.277","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1969","1969","°C","0.31","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1970","1970","°C","0.251","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1971","1971","°C","-0.25","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1972","1972","°C","0.001","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1973","1973","°C","0.365","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1974","1974","°C","-0.235","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1975","1975","°C","-0.088","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1976","1976","°C","-0.122","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1977","1977","°C","0.327","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1978","1978","°C","0.177","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1979","1979","°C","0.189","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1980","1980","°C","0.302","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1981","1981","°C","0.123","Fc","Calculated data"
"ET","Temperature change","5101","Eastern Africa","7271","Temperature change","7020","Meteorological year","1982","1982","°C","0.203","Fc","Calculated data"
